date,inflation,interest
1985 Q1,5.41004349548819,8.9725664710032
1985 Q2,3.46482910908035,8.36447798432511
1985 Q3,4.07277959434838,8.33804851062549
1985 Q4,2.87302179241371,8.56245324172444
1986 Q1,4.30236379207335,8.25656394144354
1986 Q2,2.72603878592032,7.26653914428783
1986 Q3,2.72463171895154,6.49822921903473
1986 Q4,3.24973192561661,6.56196736319743
1987 Q1,2.50565091694112,6.51322715037193
1987 Q2,3.85534176062939,6.97657119610944
1987 Q3,3.54621481774626,7.17959503176706
1987 Q4,4.06280299941173,7.26643004523002
1988 Q1,3.84770947993351,6.99063386900614
1988 Q2,4.81498884026597,7.5242277310148
1988 Q3,4.55997035243914,8.42737254641282
1988 Q4,4.46764139637675,8.96750250119056
1989 Q1,4.34167570145839,10.049547272639
1989 Q2,3.61767246974646,10.3639720728151
1989 Q3,2.95743547339884,9.64637941019688
1989 Q4,3.6547081998714,9.12525468856085
1990 Q1,4.58269867231765,8.72370147666122
1990 Q2,4.44177901092259,8.7152201930407
1990 Q3,4.00699838662333,8.62371318095267
1990 Q4,3.35929128538799,8.16557929941253
1991 Q1,3.53193109926516,6.73865029135481
1991 Q2,3.07545087348072,6.12352516450534
1991 Q3,3.56943493026517,5.89035102668907
1991 Q4,3.15291085082927,5.00451004210012
1992 Q1,3.04274969962362,4.16246739817483
1992 Q2,2.81714266531354,3.89672387037414
1992 Q3,2.3571297057176,3.35727903459997
1992 Q4,2.92548806870148,3.1259891468242
1993 Q1,2.74780419702782,3.13042880688412
1993 Q2,3.02731005921509,3.08826730421132
1993 Q3,2.22041303548053,3.15065212715508
1993 Q4,2.05791421924361,3.07747593572492
1994 Q1,1.81638057206793,3.31018533381842
1994 Q2,2.67888236694908,4.07616851691912
1994 Q3,2.22218115922608,4.65093182568097
1994 Q4,2.02783657425201,5.37623080728968
1995 Q1,2.09708515705862,6.06320686196729
1995 Q2,2.36634483963979,6.2930689393315
1995 Q3,1.89567028622496,6.05277491746135
1995 Q4,2.00824251676979,5.96948852354604
1996 Q1,1.56983436167487,5.5913347964573
1996 Q2,1.89442079872604,5.45955533512414
1996 Q3,1.81086014929455,5.52740256509006
1996 Q4,2.28059158504167,5.49845288937125
1997 Q1,1.57096172575212,5.49832630844771
1997 Q2,2.07874816515467,5.75908814219717
1997 Q3,0.927358488937392,5.77000706769462
1997 Q4,1.26984713670691,5.74134056369771
1998 Q1,1.17689879698034,5.75614673882561
1998 Q2,1.22630070384789,5.73423212158601
1998 Q3,1.4134039906195,5.77035670703707
1998 Q4,1.27304006945122,5.05091799888249
1999 Q1,1.29568700301307,4.91481769889239
1999 Q2,1.28799003465362,4.92986732649059
1999 Q3,1.37014827698259,5.29788322422229
1999 Q4,1.80834908355289,5.52600721831882
2000 Q1,2.18929996654008,5.9226233041725
2000 Q2,1.26845793608489,6.56646799384828
2000 Q3,1.79674066702585,6.83330858522726
2000 Q4,1.92325283081989,6.78235025965175
2001 Q1,2.30010097093633,5.8381333898686
2001 Q2,1.51246310715459,4.48276668089329
2001 Q3,1.09013300165135,3.61351713014664
2001 Q4,2.00244376641848,2.18694706024445
2002 Q1,1.16305230312883,1.77266832372187
2002 Q2,2.28649555657665,1.79009597158084
2002 Q3,1.98966086098697,1.77966444895998
2002 Q4,1.40638982211357,1.47526521941974
2003 Q1,0.963006737917968,1.27506162335229
2003 Q2,1.17551468768238,1.27213176685068
2003 Q3,1.63371402033431,1.03617747138964
2003 Q4,1.64265533050906,1.0155809082443
2004 Q1,2.45773112469543,1.02229589426179
2004 Q2,2.33788762653964,1.02916181295272
2004 Q3,1.47825664448798,1.4618469065059
2004 Q4,2.16316273944885,1.99692725378322
2005 Q1,2.78688717085934,2.53479908961645
2005 Q2,1.83275342564518,3.02971160600585
2005 Q3,1.48665588067078,3.56831307377929
2005 Q4,2.5943081617286,4.11733969816248
2006 Q1,2.26049702160751,4.62073605437987
2006 Q2,2.83136519848988,5.10067050753253
2006 Q3,2.14497364471512,5.46311944418842
2006 Q4,1.72069446760288,5.46311944418842
2007 Q1,2.8806366076222,5.47373115182139
2007 Q2,1.48755482441961,5.46672198534599
2007 Q3,1.94405319059568,5.27955247824035
2007 Q4,2.59927973642842,4.66442472643913
2008 Q1,2.22015164762511,3.27759451081155
2008 Q2,1.90683902095147,2.13691025089353
2008 Q3,1.87028446602811,1.98782326345206
2008 Q4,0.191258150074166,0.51631413046036
2009 Q1,0.366548234702468,0.184810529629575
2009 Q2,1.79979325880473,0.18266617552205
2009 Q3,1.40920632475524,0.159042054793379
2009 Q4,2.49447757855092,0.121740507558044
2010 Q1,1.16172741287749,0.13538915722815
2010 Q2,0.888997517276555,0.19628465596937
2010 Q3,0.533201874388509,0.189401171540182
2010 Q4,1.09239433393306,0.189401171540182
2011 Q1,1.89367575187171,0.158855635235411
2011 Q2,2.33509877772857,0.0946371209636476
2011 Q3,1.91718935149719,0.0845631124281931
2011 Q4,1.48379214404144,0.0743058992262791
2012 Q1,2.62124476373792,0.104897624632794
